n_db,cv_method,measure,p,r,dbs
8,k30,w,0.1,1,breastcan:wisconsin:balance:heart:german:wine:diabetes:yeast3
7,k20,t,0.1,1,breastcan:balance:heart:liver:german:wine:diabetes
7,k2x5,t,0.1,7,breastcan:balance:heart:liver:german:diabetes:yeast3
7,k10,w,0.1,2,wisconsin:balance:heart:liver:german:wine:diabetes
7,k10,w,0.1,9,balance:heart:liver:german:wine:diabetes:yeast3
7,k20,w,0.1,9,balance:heart:liver:german:wine:diabetes:yeast3
7,k30,w,0.1,2,balance:heart:liver:german:wine:diabetes:yeast3
7,k30,w,0.1,6,breastcan:balance:heart:liver:german:wine:diabetes
7,k30,w,0.1,9,breastcan:balance:heart:liver:german:diabetes:yeast3
7,k2x5,w,0.1,5,breastcan:wisconsin:balance:heart:liver:german:diabetes
7,k10,w,0.05,4,wisconsin:balance:heart:liver:german:wine:diabetes
7,k20,w,0.05,1,breastcan:balance:heart:liver:german:wine:diabetes
7,k30,w,0.05,0,breastcan:balance:heart:liver:german:wine:diabetes
7,k30,w,0.05,2,breastcan:balance:liver:german:wine:diabetes:yeast3
6,k10,t,0.1,1,balance:heart:liver:german:wine:diabetes
6,k10,t,0.1,2,breastcan:balance:heart:liver:wine:diabetes
6,k10,t,0.1,9,balance:heart:liver:german:wine:diabetes
6,k20,t,0.1,7,balance:heart:liver:german:wine:diabetes
6,k20,t,0.1,9,balance:heart:liver:german:wine:diabetes
6,k30,t,0.1,2,balance:heart:liver:german:wine:diabetes
6,k2x5,t,0.1,2,balance:heart:liver:german:diabetes:yeast3
6,k10,t,0.05,2,balance:heart:liver:german:wine:diabetes
6,k10,t,0.05,9,balance:heart:liver:german:wine:diabetes
6,k20,t,0.05,9,balance:heart:liver:german:wine:diabetes
6,k2x5,t,0.05,2,balance:heart:liver:german:diabetes:yeast3
6,k2x5,t,0.05,5,balance:heart:liver:german:diabetes:yeast3
6,k10,t,0.01,7,balance:heart:liver:german:wine:diabetes
6,k2x5,t,0.01,3,breastcan:balance:heart:liver:german:diabetes
6,k2x5,t,0.01,7,breastcan:wisconsin:balance:liver:german:diabetes
6,k10,w,0.1,0,wisconsin:balance:heart:iris:diabetes:yeast3
6,k10,w,0.1,4,balance:heart:german:wine:diabetes:yeast3
6,k20,w,0.1,2,balance:heart:liver:german:wine:diabetes
6,k20,w,0.1,8,wisconsin:balance:heart:liver:german:diabetes
6,k2x5,w,0.1,4,breastcan:balance:heart:liver:german:diabetes
6,k10,w,0.05,0,balance:heart:liver:german:diabetes:yeast3
6,k10,w,0.05,1,wisconsin:balance:heart:liver:wine:diabetes
6,k10,w,0.05,2,balance:heart:liver:german:wine:diabetes
6,k10,w,0.05,7,balance:heart:liver:german:wine:diabetes
6,k10,w,0.05,9,balance:heart:liver:german:wine:diabetes
6,k20,w,0.05,3,balance:heart:liver:german:wine:diabetes
6,k20,w,0.05,4,balance:heart:liver:german:wine:diabetes
6,k20,w,0.05,5,breastcan:balance:heart:liver:german:wine
6,k20,w,0.05,6,balance:heart:liver:german:wine:diabetes
6,k20,w,0.05,7,balance:heart:liver:german:wine:diabetes
6,k20,w,0.05,9,balance:heart:liver:german:wine:diabetes
6,k30,w,0.05,1,balance:heart:liver:german:wine:diabetes
6,k2x5,w,0.05,4,breastcan:balance:heart:liver:german:diabetes
6,k20,w,0.01,1,balance:heart:liver:german:wine:diabetes
6,k2x5,w,0.01,2,balance:heart:liver:german:diabetes:yeast3
5,k10,t,0.1,0,balance:heart:liver:diabetes:yeast3
5,k10,t,0.1,3,balance:liver:german:wine:diabetes
5,k10,t,0.1,4,balance:heart:german:wine:diabetes
5,k10,t,0.1,6,balance:heart:liver:german:wine
5,k10,t,0.1,7,balance:heart:german:wine:diabetes
5,k10,t,0.1,8,balance:heart:liver:german:diabetes
5,k20,t,0.1,3,balance:heart:liver:german:diabetes
5,k20,t,0.1,6,balance:heart:liver:german:wine
5,k30,t,0.1,7,balance:heart:german:wine:diabetes
5,k2x5,t,0.1,5,balance:heart:liver:german:diabetes
5,k2x5,t,0.1,8,balance:heart:liver:diabetes:yeast3
5,k20,t,0.05,3,balance:heart:liver:german:diabetes
5,k20,t,0.05,7,breastcan:balance:liver:wine:diabetes
5,k30,t,0.05,2,balance:liver:german:wine:diabetes
5,k2x5,t,0.05,4,balance:heart:liver:german:diabetes
5,k2x5,t,0.05,7,balance:heart:liver:german:diabetes
5,k2x5,t,0.05,8,balance:heart:liver:diabetes:yeast3
5,k10,t,0.01,0,balance:liver:german:diabetes:yeast3
5,k10,t,0.01,2,balance:liver:german:wine:diabetes
5,k10,t,0.01,3,balance:liver:german:diabetes:yeast3
5,k10,t,0.01,4,balance:liver:german:wine:diabetes
5,k10,t,0.01,9,balance:heart:liver:german:diabetes
5,k20,t,0.01,4,balance:heart:liver:german:diabetes
5,k30,t,0.01,0,balance:heart:liver:german:diabetes
5,k2x5,t,0.01,2,heart:liver:german:diabetes:yeast3
5,k2x5,t,0.01,4,balance:heart:liver:german:diabetes
5,k2x5,t,0.01,6,breastcan:balance:liver:german:diabetes
5,k10,w,0.1,3,balance:liver:german:iris:diabetes
5,k10,w,0.1,6,balance:heart:german:wine:diabetes
5,k10,w,0.1,7,balance:heart:liver:german:diabetes
5,k10,w,0.1,8,balance:heart:liver:german:diabetes
5,k20,w,0.1,1,balance:heart:liver:wine:diabetes
5,k20,w,0.1,3,balance:heart:liver:german:diabetes
5,k20,w,0.1,5,balance:heart:liver:german:diabetes
5,k20,w,0.1,6,balance:heart:liver:german:diabetes
5,k30,w,0.1,0,balance:heart:german:wine:diabetes
5,k30,w,0.1,3,wisconsin:balance:heart:wine:diabetes
5,k30,w,0.1,4,balance:heart:liver:german:diabetes
5,k2x5,w,0.1,1,balance:liver:german:diabetes:yeast3
5,k2x5,w,0.1,2,balance:heart:liver:german:diabetes
5,k2x5,w,0.1,6,breastcan:balance:liver:german:diabetes
5,k2x5,w,0.1,8,breastcan:balance:heart:liver:diabetes
5,k20,w,0.05,2,wisconsin:balance:liver:german:wine
5,k30,w,0.05,4,balance:heart:liver:wine:diabetes
5,k30,w,0.05,6,balance:heart:liver:german:diabetes
5,k30,w,0.05,8,breastcan:liver:german:wine:diabetes
5,k2x5,w,0.05,1,balance:liver:german:diabetes:yeast3
5,k2x5,w,0.05,2,heart:liver:german:diabetes:yeast3
5,k2x5,w,0.05,3,balance:heart:liver:german:diabetes
5,k2x5,w,0.05,6,balance:liver:german:diabetes:yeast3
5,k2x5,w,0.05,7,balance:heart:liver:german:diabetes
5,k2x5,w,0.05,9,breastcan:balance:liver:german:diabetes
5,k10,w,0.01,1,balance:heart:liver:diabetes:yeast3
5,k10,w,0.01,3,balance:heart:liver:german:diabetes
5,k10,w,0.01,4,balance:liver:german:diabetes:yeast3
5,k10,w,0.01,6,balance:heart:german:diabetes:yeast3
5,k20,w,0.01,3,balance:heart:liver:german:diabetes
5,k20,w,0.01,6,balance:heart:liver:german:yeast3
5,k20,w,0.01,7,breastcan:balance:heart:liver:german
5,k30,w,0.01,0,balance:heart:liver:wine:diabetes
5,k30,w,0.01,3,balance:liver:german:wine:diabetes
5,k30,w,0.01,5,balance:heart:liver:german:diabetes
5,k2x5,w,0.01,0,balance:heart:liver:german:diabetes
5,k2x5,w,0.01,1,liver:german:wine:diabetes:yeast3
5,k2x5,w,0.01,3,breastcan:heart:liver:german:diabetes
5,k2x5,w,0.01,7,breastcan:balance:liver:german:diabetes
5,k2x5,w,0.01,8,wisconsin:balance:heart:liver:diabetes
5,k2x5,w,0.01,9,breastcan:balance:liver:german:diabetes
4,k20,t,0.1,2,balance:liver:german:diabetes
4,k20,t,0.1,4,balance:heart:wine:diabetes
4,k20,t,0.1,5,balance:heart:german:wine
4,k30,t,0.1,0,balance:heart:german:wine
4,k30,t,0.1,1,balance:heart:german:wine
4,k30,t,0.1,4,balance:heart:liver:german
4,k30,t,0.1,5,balance:heart:german:wine
4,k30,t,0.1,6,balance:liver:german:diabetes
4,k30,t,0.1,8,balance:german:wine:diabetes
4,k30,t,0.1,9,breastcan:balance:heart:wine
4,k2x5,t,0.1,0,breastcan:liver:german:diabetes
4,k2x5,t,0.1,1,balance:liver:german:diabetes
4,k2x5,t,0.1,3,balance:liver:german:diabetes
4,k2x5,t,0.1,4,balance:liver:german:diabetes
4,k2x5,t,0.1,6,balance:liver:german:diabetes
4,k2x5,t,0.1,9,heart:liver:german:diabetes
4,k10,t,0.05,0,balance:heart:german:diabetes
4,k10,t,0.05,1,balance:heart:liver:wine
4,k10,t,0.05,4,balance:heart:wine:diabetes
4,k10,t,0.05,7,balance:heart:wine:diabetes
4,k20,t,0.05,1,balance:liver:wine:diabetes
4,k20,t,0.05,2,balance:liver:german:diabetes
4,k20,t,0.05,4,balance:heart:liver:german
4,k30,t,0.05,0,balance:heart:german:wine
4,k30,t,0.05,4,balance:heart:liver:german
4,k30,t,0.05,6,balance:liver:german:diabetes
4,k30,t,0.05,9,balance:heart:liver:german
4,k2x5,t,0.05,1,balance:liver:german:diabetes
4,k2x5,t,0.05,3,balance:liver:german:diabetes
4,k10,t,0.01,5,balance:heart:liver:german
4,k20,t,0.01,1,balance:heart:liver:diabetes
4,k20,t,0.01,3,balance:heart:liver:german
4,k20,t,0.01,5,balance:liver:german:diabetes
4,k30,t,0.01,6,balance:liver:german:diabetes
4,k30,t,0.01,9,balance:heart:liver:german
4,k2x5,t,0.01,0,heart:liver:german:diabetes
4,k2x5,t,0.01,1,balance:liver:german:diabetes
4,k2x5,t,0.01,8,breastcan:balance:liver:diabetes
4,k2x5,t,0.01,9,balance:liver:german:diabetes
4,k10,w,0.1,1,balance:heart:liver:diabetes
4,k20,w,0.1,0,balance:heart:german:diabetes
4,k20,w,0.1,4,balance:heart:german:diabetes
4,k20,w,0.1,7,balance:heart:wine:diabetes
4,k30,w,0.1,5,balance:heart:german:diabetes
4,k30,w,0.1,7,balance:heart:german:diabetes
4,k30,w,0.1,8,breastcan:german:wine:diabetes
4,k2x5,w,0.1,3,balance:liver:german:diabetes
4,k2x5,w,0.1,7,breastcan:balance:liver:diabetes
4,k2x5,w,0.1,9,heart:liver:german:diabetes
4,k10,w,0.05,3,balance:liver:german:diabetes
4,k10,w,0.05,5,balance:heart:liver:yeast3
4,k10,w,0.05,8,wisconsin:balance:german:diabetes
4,k20,w,0.05,8,balance:heart:liver:german
4,k30,w,0.05,5,balance:heart:german:diabetes
4,k30,w,0.05,7,balance:heart:german:diabetes
4,k30,w,0.05,9,balance:heart:german:wine
4,k2x5,w,0.05,5,heart:liver:german:diabetes
4,k2x5,w,0.05,8,balance:heart:liver:diabetes
4,k10,w,0.01,0,balance:liver:diabetes:yeast3
4,k10,w,0.01,2,balance:liver:diabetes:yeast3
4,k10,w,0.01,5,balance:heart:liver:yeast3
4,k10,w,0.01,7,balance:heart:liver:diabetes
4,k10,w,0.01,9,balance:heart:german:diabetes
4,k20,w,0.01,0,wisconsin:balance:german:wine
4,k20,w,0.01,5,breastcan:balance:heart:german
4,k20,w,0.01,8,balance:heart:liver:diabetes
4,k20,w,0.01,9,balance:heart:liver:german
4,k30,w,0.01,1,balance:liver:german:wine
4,k30,w,0.01,2,balance:liver:german:diabetes
4,k30,w,0.01,6,balance:liver:german:diabetes
4,k30,w,0.01,7,balance:liver:wine:diabetes
4,k30,w,0.01,9,balance:heart:liver:german
4,k2x5,w,0.01,5,balance:liver:german:diabetes
4,k2x5,w,0.01,6,breastcan:wisconsin:german:diabetes
3,k20,t,0.1,8,balance:liver:german
3,k30,t,0.1,3,balance:liver:wine
3,k10,t,0.05,3,balance:liver:diabetes
3,k20,t,0.05,5,balance:liver:wine
3,k20,t,0.05,6,balance:liver:wine
3,k30,t,0.05,1,balance:german:wine
3,k30,t,0.05,3,balance:german:wine
3,k30,t,0.05,5,balance:german:wine
3,k30,t,0.05,7,balance:wine:diabetes
3,k2x5,t,0.05,0,liver:german:diabetes
3,k2x5,t,0.05,6,balance:german:diabetes
3,k2x5,t,0.05,9,liver:german:diabetes
3,k10,t,0.01,1,balance:liver:diabetes
3,k10,t,0.01,6,balance:german:wine
3,k10,t,0.01,8,balance:heart:german
3,k20,t,0.01,0,balance:liver:german
3,k20,t,0.01,2,balance:liver:german
3,k20,t,0.01,6,balance:liver:german
3,k20,t,0.01,7,balance:liver:german
3,k20,t,0.01,9,balance:liver:german
3,k30,t,0.01,1,balance:liver:german
3,k30,t,0.01,2,balance:liver:german
3,k30,t,0.01,3,balance:german:wine
3,k30,t,0.01,4,balance:liver:german
3,k30,t,0.01,5,balance:liver:german
3,k30,t,0.01,8,balance:liver:german
3,k2x5,t,0.01,5,liver:german:diabetes
3,k10,w,0.1,5,balance:heart:diabetes
3,k2x5,w,0.1,0,liver:german:diabetes
3,k10,w,0.05,6,balance:german:wine
3,k30,w,0.05,3,balance:wine:diabetes
3,k2x5,w,0.05,0,liver:german:diabetes
3,k10,w,0.01,8,balance:heart:german
3,k20,w,0.01,2,balance:liver:german
3,k20,w,0.01,4,balance:heart:german
3,k30,w,0.01,4,balance:heart:liver
3,k30,w,0.01,8,balance:liver:diabetes
3,k2x5,w,0.01,4,heart:liver:diabetes
