n_db,cv_method,measure,p,r,dbs
4,k10,w,0.05,0,liver:diabetes:yeast3:monkthree
3,k10,t,0.1,2,ionosphere:liver:monkthree
3,k10,t,0.1,5,ionosphere:german:monkthree
3,k30,t,0.1,2,liver:diabetes:monkthree
3,k30,t,0.1,6,liver:diabetes:monkthree
3,k20,t,0.05,2,liver:diabetes:monkthree
3,k20,t,0.05,4,liver:german:monkthree
3,k20,t,0.05,9,liver:german:monkthree
3,k30,t,0.05,4,liver:german:monkthree
3,k30,t,0.05,9,liver:hayes:monkthree
3,k30,t,0.01,0,liver:german:monkthree
3,k10,w,0.1,0,diabetes:yeast3:monkthree
3,k10,w,0.1,2,ionosphere:german:monkthree
3,k20,w,0.1,9,liver:diabetes:monkthree
3,k30,w,0.1,6,liver:hayes:monkthree
3,k10,w,0.05,2,ionosphere:german:monkthree
3,k10,w,0.05,5,ionosphere:german:monkthree
3,k20,w,0.05,7,ionosphere:liver:monkthree
3,k20,w,0.05,9,liver:diabetes:monkthree
3,k30,w,0.05,0,liver:hayes:monkthree
3,k30,w,0.05,2,liver:diabetes:monkthree
3,k20,w,0.01,6,liver:yeast3:monkthree
3,k30,w,0.01,6,liver:diabetes:monkthree
